age,workclass,education,educationno,maritalstatus,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native
47, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States
18, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,16, United-States
55, Self-emp-not-inc, 10th,6, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,18, United-States
49, Local-gov, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,2002,40, United-States
44, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
43, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,40, United-States
62, Private, 7th-8th,4, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, Cuba
44, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States
50, Self-emp-inc, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States
35, Private, 11th,7, Never-married, Sales, Not-in-family, White, Male,0,0,45, United-States
52, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
46, Private, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States
44, Private, Assoc-acdm,12, Married-civ-spouse, Sales, Husband, White, Male,7688,0,40, United-States
43, Private, Some-college,10, Never-married, Exec-managerial, Unmarried, White, Male,0,0,50, United-States
51, Private, 7th-8th,4, Married-civ-spouse, Craft-repair, Husband, White, Male,2961,0,40, United-States
20, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,20, United-States
47, Private, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,40, Italy
43, Private, Masters,14, Divorced, Exec-managerial, Unmarried, White, Male,0,0,50, United-States
24, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
27, Federal-gov, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
32, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
37, Private, HS-grad,9, Divorced, Other-service, Unmarried, White, Female,0,0,12, United-States
26, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,60, United-States
43, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,60, United-States
50, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,0,0,40, United-States
20, Self-emp-not-inc, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,0,0,80, United-States
37, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,45, United-States
43, Private, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Female,0,0,45, United-States
37, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,50, United-States
53, Private, 9th,5, Divorced, Other-service, Not-in-family, White, Female,0,0,36, Canada
44, Private, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States
25, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,40, United-States
17, Private, 11th,7, Never-married, Adm-clerical, Own-child, White, Female,1055,0,20, United-States
19, Private, HS-grad,9, Never-married, Sales, Own-child, White, Male,0,0,50, United-States
53, State-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,15024,0,40, United-States
44, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,0,0,50, United-States
51, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,1902,40, United-States
49, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,43, United-States
35, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
44, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,0,0,45, United-States
54, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States
37, Private, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States
18, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States
24, Private, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
29, Private, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,0,0,50, United-States
35, Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States
56, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States
24, Private, Bachelors,13, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Male,0,0,45, China
43, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,40, United-States
73, Private, HS-grad,9, Widowed, Sales, Other-relative, White, Female,0,0,15, United-States
49, Private, 12th,8, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,39, United-States
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
31, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, United-States
39, Private, Some-college,10, Divorced, Adm-clerical, Unmarried, Amer-Indian-Eskimo, Female,0,0,40, United-States
42, Private, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
41, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,45, China
35, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,45, United-States
38, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,45, United-States
31, Private, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
51, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,70, United-States
38, Private, Bachelors,13, Divorced, Sales, Not-in-family, White, Male,0,0,48, United-States
40, Local-gov, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States
21, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,30, United-States
44, Private, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
55, Private, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
29, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,45, United-States
49, Private, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States
31, Private, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,0,0,42, United-States
24, Private, Masters,14, Never-married, Exec-managerial, Own-child, White, Male,6849,0,90, United-States
46, Private, Some-college,10, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,40, United-States
26, Private, HS-grad,9, Never-married, Sales, Not-in-family, Black, Male,0,0,40, United-States
35, Private, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,0,0,38, United-States
27, Private, Assoc-voc,11, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States
64, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,35, United-States
26, Private, Bachelors,13, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States
21, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,1719,16, United-States
57, Local-gov, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,72, United-States
30, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
45, Private, 11th,7, Married-civ-spouse, Other-service, Wife, White, Female,0,0,32, United-States
50, Private, 7th-8th,4, Divorced, Craft-repair, Not-in-family, White, Female,0,0,30, United-States
38, Private, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States
43, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States
42, Private, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,55, United-States
32, Private, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,40, United-States
20, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
27, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,35, United-States
45, Private, 11th,7, Widowed, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
40, Private, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States
38, Private, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,0,0,60, United-States
37, Private, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
60, Private, 10th,6, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States
53, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, Black, Male,0,0,45, United-States
25, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Own-child, White, Female,0,0,40, United-States
47, Self-emp-not-inc, Bachelors,13, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male,0,0,60, Japan
40, Self-emp-not-inc, HS-grad,9, Never-married, Farming-fishing, Not-in-family, White, Male,0,0,70, United-States
19, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States
42, Private, Some-college,10, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,50, United-States
41, Private, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
28, Private, 10th,6, Never-married, Machine-op-inspct, Own-child, Black, Male,0,0,45, United-States
46, Private, Masters,14, Divorced, Exec-managerial, Not-in-family, White, Female,27828,0,50, United-States
49, Private, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,99999,0,20, United-States
24, Private, HS-grad,9, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,40, United-States
32, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
71, Private, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,6767,0,20, United-States
26, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,3103,0,40, United-States
29, Private, HS-grad,9, Married-spouse-absent, Protective-serv, Not-in-family, White, Male,0,0,40, United-States
50, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,99999,0,50, United-States
51, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,3103,0,50, United-States
49, Private, HS-grad,9, Married-civ-spouse, Other-service, Wife, Black, Female,0,0,40, United-States
31, Private, 10th,6, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
23, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
59, Local-gov, HS-grad,9, Widowed, Farming-fishing, Unmarried, White, Male,0,2339,40, United-States
43, Private, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,7688,0,40, United-States
38, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,7298,0,40, United-States
37, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
29, Private, 10th,6, Never-married, Other-service, Own-child, White, Male,0,0,40, United-States
39, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,50, United-States
31, Private, Assoc-acdm,12, Never-married, Adm-clerical, Not-in-family, White, Male,2202,0,38, United-States
42, Local-gov, Bachelors,13, Married-spouse-absent, Prof-specialty, Not-in-family, White, Female,8614,0,45, United-States
35, Local-gov, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,35, United-States
39, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,15024,0,40, United-States
40, Private, Assoc-acdm,12, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
66, Private, 5th-6th,3, Married-spouse-absent, Handlers-cleaners, Unmarried, White, Female,0,0,40, Puerto-Rico
30, Federal-gov, 9th,5, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
43, Private, Assoc-acdm,12, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
47, Private, 9th,5, Never-married, Other-service, Unmarried, White, Female,0,0,50, United-States
45, Private, Masters,14, Never-married, Adm-clerical, Not-in-family, Asian-Pac-Islander, Female,0,0,40, Philippines
31, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,0,0,40, Trinadad&Tobago
33, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,3103,0,40, United-States
32, Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States
28, Private, Assoc-acdm,12, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,40, United-States
50, Federal-gov, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
63, Private, 7th-8th,4, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States
28, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,40, United-States
38, Private, Some-college,10, Widowed, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States
52, Private, HS-grad,9, Divorced, Other-service, Not-in-family, White, Female,0,0,38, United-States
38, Self-emp-inc, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, United-States
41, Private, HS-grad,9, Never-married, Exec-managerial, Not-in-family, White, Male,2174,0,40, United-States
50, State-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,38, United-States
59, Private, 11th,7, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
32, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,49, United-States
73, Local-gov, 7th-8th,4, Married-civ-spouse, Protective-serv, Husband, White, Male,2228,0,10, United-States
52, Self-emp-inc, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Male,0,0,38, United-States
57, Private, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,60, United-States
35, Private, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Husband, White, Male,7298,0,50, United-States
51, Private, Bachelors,13, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,56, United-States
22, Private, 11th,7, Widowed, Sales, Own-child, Black, Female,0,0,35, United-States
49, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
22, Private, HS-grad,9, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,40, United-States
46, Local-gov, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,1902,40, United-States
48, Private, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female,0,0,40, United-States
43, State-gov, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,50, United-States
25, Private, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, Mexico
31, Private, 7th-8th,4, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
19, Private, Some-college,10, Never-married, Sales, Own-child, White, Male,0,0,36, United-States
51, Private, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,84, United-States
51, Private, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,0,0,40, United-States
22, Self-emp-not-inc, HS-grad,9, Never-married, Prof-specialty, Unmarried, White, Female,99999,0,40, Dominican-Republic
37, Local-gov, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,0,0,35, United-States
19, Private, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,30, United-States
45, Private, HS-grad,9, Divorced, Transport-moving, Unmarried, White, Female,0,0,55, United-States
21, State-gov, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States
52, Private, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,40, United-States
46, Local-gov, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,24, United-States
42, State-gov, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,38, United-States
56, Private, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
23, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
58, Private, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
70, Private, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States
30, Private, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Male,0,0,40, United-States
45, Private, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,0,0,40, Philippines
23, Private, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,44, United-States
34, Local-gov, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,1579,40, United-States
38, Private, Bachelors,13, Married-civ-spouse, Craft-repair, Wife, White, Female,0,0,40, United-States
24, Private, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States
53, Private, 7th-8th,4, Never-married, Transport-moving, Not-in-family, Amer-Indian-Eskimo, Male,0,0,40, United-States
45, Federal-gov, HS-grad,9, Never-married, Transport-moving, Not-in-family, Black, Male,3325,0,40, United-States
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,40, Puerto-Rico
34, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
32, Self-emp-inc, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,5178,0,45, United-States
21, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States
23, Private, 9th,5, Never-married, Handlers-cleaners, Own-child, Black, Male,0,0,36, United-States
28, Private, Bachelors,13, Divorced, Craft-repair, Unmarried, White, Male,0,0,50, United-States
29, Self-emp-not-inc, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Male,0,0,45, United-States
25, Local-gov, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States
44, State-gov, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,60, United-States
18, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,8, United-States
26, Private, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,24, United-States
47, Local-gov, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,35, United-States
23, Private, HS-grad,9, Divorced, Sales, Not-in-family, White, Male,0,0,40, United-States
46, Private, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
61, Local-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,5178,0,50, United-States
25, Private, HS-grad,9, Never-married, Craft-repair, Other-relative, White, Male,0,0,40, United-States
38, Local-gov, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, Asian-Pac-Islander, Male,0,0,54, United-States
23, Private, Some-college,10, Never-married, Other-service, Not-in-family, White, Male,0,0,20, United-States
36, Federal-gov, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,48, United-States
46, Private, 9th,5, Divorced, Other-service, Not-in-family, White, Male,0,0,25, United-States
32, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,45, United-States
40, Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,40, United-States
31, Private, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Male,0,0,40, United-States
31, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,65, United-States
32, State-gov, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,37, United-States
21, Private, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,10, United-States
63, Private, Some-college,10, Married-civ-spouse, Sales, Husband, Black, Male,0,0,40, United-States
44, Private, Some-college,10, Separated, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States
42, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States
30, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,45, United-States
24, Private, HS-grad,9, Never-married, Other-service, Unmarried, White, Male,0,0,40, El-Salvador
42, Private, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,40, United-States
44, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,40, Italy
27, Federal-gov, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,0,0,48, United-States
27, Local-gov, Some-college,10, Never-married, Exec-managerial, Unmarried, White, Male,0,0,40, United-States
22, Private, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,45, United-States
68, Private, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,40, United-States
55, Self-emp-not-inc, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,99, United-States
22, Self-emp-not-inc, HS-grad,9, Never-married, Other-service, Own-child, White, Male,0,0,40, Greece
25, Private, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,15, United-States
68, Self-emp-not-inc, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States
62, Private, Some-college,10, Widowed, Exec-managerial, Not-in-family, White, Female,0,0,16, United-States
26, Private, HS-grad,9, Divorced, Other-service, Other-relative, White, Male,0,0,40, United-States
34, Private, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,55, United-States
68, Private, Some-college,10, Widowed, Sales, Not-in-family, White, Male,0,0,40, United-States
42, Local-gov, Bachelors,13, Separated, Exec-managerial, Not-in-family, White, Male,0,0,45, United-States
45, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,55, United-States
26, Private, 11th,7, Never-married, Transport-moving, Not-in-family, White, Male,0,0,40, United-States
25, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States
23, Private, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,50, United-States
65, Without-pay, 7th-8th,4, Widowed, Farming-fishing, Unmarried, White, Female,0,0,50, United-States
31, Private, HS-grad,9, Never-married, Transport-moving, Not-in-family, White, Male,0,0,50, United-States
26, Private, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
39, Private, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, United-States
44, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
45, Local-gov, Masters,14, Divorced, Prof-specialty, Unmarried, White, Female,1506,0,45, United-States
26, Self-emp-not-inc, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,50, United-States
26, Private, 10th,6, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,35, United-States
36, Private, 9th,5, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,50, United-States
38, Private, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States
39, Private, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Male,0,0,48, United-States
52, Self-emp-inc, Prof-school,15, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
39, Private, 1st-4th,2, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, Mexico
41, Self-emp-not-inc, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,0,0,40, United-States
42, Local-gov, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1902,60, United-States
47, Private, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,70, United-States
28, Local-gov, Assoc-voc,11, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,46, United-States
25, Local-gov, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,0,35, United-States
35, Private, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
32, Private, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,0,0,40, United-States
38, Private, Masters,14, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States
44, Private, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,0,0,18, United-States
27, Private, Bachelors,13, Never-married, Sales, Own-child, White, Female,0,0,40, United-States
30, Private, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,55, United-States
30, Private, Bachelors,13, Never-married, Sales, Not-in-family, White, Male,0,1741,48, United-States
45, Private, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,1628,45, United-States
20, Private, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,0,0,40, United-States
57, Private, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,80, United-States
43, Private, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Male,0,0,48, United-States
28, Private, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female,0,0,48, China
25, Private, HS-grad,9, Married-civ-spouse, Tech-support, Other-relative, White, Female,0,0,48, United-States
25, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
90, Private, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,45, United-States
38, Local-gov, Bachelors,13, Separated, Prof-specialty, Unmarried, Black, Male,0,0,40, United-States
35, Private, Bachelors,13, Married-spouse-absent, Exec-managerial, Unmarried, White, Female,0,0,40, United-States
50, State-gov, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, Canada
26, Local-gov, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States
39, Private, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States
56, Private, 10th,6, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
24, Local-gov, HS-grad,9, Divorced, Protective-serv, Unmarried, Black, Female,0,0,40, United-States
46, Private, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,7688,0,40, United-States
18, Local-gov, 11th,7, Never-married, Adm-clerical, Other-relative, White, Female,0,0,25, United-States
37, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,2415,60, United-States
57, Private, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States
43, State-gov, HS-grad,9, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States
29, State-gov, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,25, Nicaragua
40, Private, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
44, Self-emp-not-inc, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States
77, Local-gov, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,6, United-States
30, Private, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,0,0,40, United-States
21, Private, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,40, United-States
66, Private, 10th,6, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States
40, Private, 11th,7, Never-married, Transport-moving, Own-child, White, Male,0,0,35, United-States
68, Private, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States
64, Private, HS-grad,9, Widowed, Other-service, Not-in-family, White, Female,0,0,38, United-States
